Date,Close,High,Low,Open,Volume
2020-01-02,342261.0,342261.0,340065.0,341150.0,400
2020-01-03,339155.0,341040.0,337755.0,338207.0,200
2020-01-06,340210.0,340340.0,337100.0,337750.0,300
2020-01-07,338901.0,340000.0,338200.0,340000.0,300
2020-01-08,339188.0,341580.0,338850.0,339450.0,200
2020-01-09,343263.0,343263.0,340800.0,341100.0,300
2020-01-10,340185.0,342850.0,340000.0,342796.0,100
2020-01-13,342855.0,342855.0,339560.0,340600.0,200
2020-01-14,340706.0,342500.0,340490.0,341101.0,200
2020-01-15,342550.0,342950.0,340450.0,340450.0,100
2020-01-16,344505.0,345000.0,342806.0,343155.0,200
2020-01-17,344970.0,347400.0,344550.0,345000.0,200
2020-01-21,342650.0,346700.0,342185.0,345000.0,300
2020-01-22,344700.0,345500.0,342680.0,343100.0,200
2020-01-23,344414.0,344600.0,341150.0,343596.0,200
2020-01-24,340199.0,343520.0,339139.0,342850.0,300
2020-01-27,333621.0,335450.0,332000.0,334450.0,500
2020-01-28,336000.0,338000.0,335032.0,335600.0,200
2020-01-29,336476.0,339400.0,336250.0,336250.0,100
2020-01-30,342000.0,342000.0,334360.0,334360.0,200
2020-01-31,335996.0,339855.0,335120.0,339855.0,300
2020-02-03,334860.0,339450.0,334580.0,338160.0,200
2020-02-04,337421.0,340296.0,337280.0,339220.0,200
2020-02-05,342615.0,342910.0,340359.0,340400.0,300
2020-02-06,344081.0,345000.0,343070.0,344290.0,200
2020-02-07,340900.0,342775.0,340345.0,342000.0,200
2020-02-10,340361.0,341078.0,338000.0,340904.0,200
2020-02-11,340780.0,342350.0,340461.0,342350.0,200
2020-02-12,341000.0,343146.0,340404.0,341900.0,200
2020-02-13,338500.0,341048.0,338500.0,340500.0,300
2020-02-14,340224.0,340600.0,338437.0,339488.0,100
2020-02-18,339745.0,341000.0,338000.0,340224.0,200
2020-02-19,344000.0,344428.0,340317.0,340656.0,300
2020-02-20,342122.0,344642.0,340965.0,343750.0,300
2020-02-21,343449.0,344975.0,340600.0,341850.0,200
2020-02-24,333190.0,336163.0,330940.0,335000.0,700
2020-02-25,328000.0,335000.0,325900.0,333195.0,600
2020-02-26,324301.0,330603.0,324301.0,328200.0,400
2020-02-27,312619.0,322292.0,312501.0,320480.0,500
2020-02-28,309096.0,310337.0,300750.0,304000.0,700
2020-03-02,324500.0,327937.0,308100.0,314000.0,500
2020-03-03,313914.0,327000.0,310000.0,322550.0,400
2020-03-04,326125.0,327246.0,314607.0,321000.0,400
2020-03-05,315000.0,318605.0,311250.0,318605.0,400
2020-03-06,310894.0,311258.0,304767.0,309000.0,500
2020-03-09,290005.0,298670.0,290000.0,292300.0,1100
2020-03-10,303561.0,304199.0,293500.0,301950.0,700
2020-03-11,292130.0,297473.0,290400.0,296550.0,600
2020-03-12,272000.0,282000.0,266800.0,276550.0,1900
2020-03-13,289000.0,295972.0,270210.0,283500.0,1100
2020-03-16,268000.0,283480.0,260000.0,260000.0,700
2020-03-17,280248.0,280619.0,268000.0,275000.0,1200
2020-03-18,256300.0,270874.0,251101.0,266000.0,1500
2020-03-19,261690.0,264440.0,250000.0,251100.0,1100
2020-03-20,257346.0,265000.0,251000.0,265000.0,1200
2020-03-23,240000.0,250000.0,239440.0,249000.0,1300
2020-03-24,267090.0,268500.0,254500.0,255226.0,1200
2020-03-25,270759.0,283325.0,262710.0,269200.0,1000
2020-03-26,276095.0,277163.0,269500.0,270800.0,800
2020-03-27,268126.0,276363.0,265337.0,267600.0,600
2020-03-30,274021.0,276000.0,267020.0,269410.0,400
2020-03-31,272000.0,279140.0,270845.0,272636.0,500
2020-04-01,261250.0,267850.0,261180.0,265900.0,900
2020-04-02,271475.0,271475.0,261895.0,262131.0,900
2020-04-03,267954.0,270205.0,263242.0,268700.0,300
2020-04-06,277260.0,279500.0,271444.0,273001.0,600
2020-04-07,276700.0,287000.0,276700.0,285010.0,700
2020-04-08,286999.0,287000.0,278280.0,280850.0,400
2020-04-09,290500.0,295765.0,287220.0,290950.0,600
2020-04-13,282800.0,290950.0,279060.0,290950.0,600
2020-04-14,289730.0,291533.0,286393.0,291400.0,700
2020-04-15,283750.0,284500.0,281201.0,284500.0,600
2020-04-16,282282.0,283751.0,278800.0,283750.0,800
2020-04-17,284400.0,289585.0,283600.0,289585.0,800
2020-04-20,282800.0,283800.0,281000.0,282200.0,700
2020-04-21,275750.0,278610.0,275000.0,275950.0,700
2020-04-22,279660.0,280888.0,278000.0,280000.0,700
2020-04-23,278750.0,280888.0,277268.0,280000.0,600
2020-04-24,279460.0,280130.0,276602.0,280100.0,500
2020-04-27,281264.0,284039.0,279855.0,280911.0,800
2020-04-28,280600.0,286480.0,280600.0,285400.0,600
2020-04-29,284749.0,288888.0,283800.0,286400.0,800
2020-04-30,281700.0,284453.0,280280.0,283200.0,500
2020-05-01,273975.0,278710.0,272520.0,278121.0,600
2020-05-04,267080.0,270000.0,265000.0,270000.0,600
2020-05-05,264280.0,270000.0,264280.0,269999.0,500
2020-05-06,259100.0,266400.0,259100.0,265000.0,500
2020-05-07,260750.0,263710.0,260110.0,260110.0,400
2020-05-08,265280.0,266105.0,261990.0,264566.0,300
2020-05-11,261601.0,264398.0,260901.0,264320.0,400
2020-05-12,260000.0,263800.0,260000.0,262701.0,300
2020-05-13,255715.0,259499.0,255000.0,259499.0,600
2020-05-14,256230.0,257262.0,250926.0,254000.0,400
2020-05-15,253501.0,256100.0,252801.0,254586.0,300
2020-05-18,262900.0,265002.0,258511.0,260000.0,600
2020-05-19,258700.0,262200.0,258700.0,260800.0,300
2020-05-20,264100.0,265130.0,261500.0,261880.0,200
2020-05-21,261906.0,264930.0,261641.0,264200.0,300
2020-05-22,263094.0,263094.0,259990.0,262000.0,300
2020-05-26,270330.0,272500.0,268095.0,269900.0,600
2020-05-27,278495.0,279000.0,275850.0,276755.0,500
2020-05-28,277035.0,280899.0,276000.0,280899.0,400
2020-05-29,278640.0,278640.0,273850.0,275000.0,400
2020-06-01,275600.0,278167.0,275000.0,278167.0,300
2020-06-02,278560.0,279410.0,275601.0,275601.0,400
2020-06-03,286090.0,287370.0,281800.0,283100.0,400
2020-06-04,287878.0,288000.0,284377.0,285804.0,300
2020-06-05,300920.0,302095.0,294200.0,294505.0,600
2020-06-08,302235.0,304990.0,299400.0,303594.0,600
2020-06-09,293955.0,298220.0,293799.0,295501.0,400
2020-06-10,287200.0,294493.0,287200.0,293900.0,400
2020-06-11,267729.0,280280.0,267000.0,277750.0,900
2020-06-12,271515.0,276800.0,267593.0,275730.0,600
2020-06-15,271956.0,272530.0,264030.0,266400.0,800
2020-06-16,273480.0,279945.0,270000.0,279945.0,900
2020-06-17,275000.0,275000.0,270870.0,274849.0,800
2020-06-18,273000.0,273000.0,269300.0,270500.0,800
2020-06-19,271600.0,274429.0,268807.0,274160.0,900
2020-06-22,272000.0,272000.0,268200.0,269047.0,900
2020-06-23,272700.0,273790.0,271115.0,272750.0,900
2020-06-24,266440.0,269800.0,266200.0,269800.0,700
2020-06-25,267840.0,269678.0,264611.0,265000.0,400
2020-06-26,263400.0,268109.0,262700.0,267500.0,800
2020-06-29,265219.0,265803.0,263600.0,264320.0,400
2020-06-30,267300.0,268600.0,265067.0,265400.0,500
2020-07-01,267020.0,270500.0,266357.0,267600.0,400
2020-07-02,267551.0,271500.0,267420.0,270800.0,500
2020-07-06,274050.0,275080.0,272600.0,274180.0,500
2020-07-07,271640.0,273870.0,271057.0,272830.0,400
2020-07-08,271770.0,273664.0,270076.0,271000.0,300
2020-07-09,268780.0,272220.0,267307.0,271770.0,400
2020-07-10,273900.0,274450.0,268000.0,268238.0,300
2020-07-13,276015.0,278640.0,275100.0,275540.0,500
2020-07-14,284780.0,285000.0,274000.0,274000.0,400
2020-07-15,285520.0,289730.0,283620.0,289500.0,500
2020-07-16,286271.0,287770.0,282560.0,282560.0,300
2020-07-17,286140.0,288170.0,285972.0,287540.0,300
2020-07-20,285590.0,286900.0,284450.0,285400.0,200
2020-07-21,288201.0,290170.0,286600.0,286721.0,500
2020-07-22,287961.0,288319.0,286211.0,287000.0,200
2020-07-23,289436.0,290084.0,287436.0,287961.0,300
2020-07-24,291621.0,294254.0,290521.0,290684.0,300
2020-07-27,288107.0,290692.0,287850.0,290590.0,300
2020-07-28,290940.0,291720.0,286000.0,286000.0,300
2020-07-29,294496.0,294870.0,290940.0,290940.0,300
2020-07-30,291362.0,291927.0,288610.0,290335.0,200
2020-07-31,293631.0,293798.0,290150.0,291750.0,300
2020-08-03,298800.0,301000.0,294510.0,295000.0,500
2020-08-04,300330.0,300330.0,297470.0,298000.0,300
2020-08-05,305200.0,306970.0,301200.0,301871.0,600
2020-08-06,307455.0,308000.0,304820.0,305000.0,41400
2020-08-07,314334.0,314365.0,305681.0,305681.0,400
2020-08-10,318830.0,319250.0,314240.0,316820.0,400
2020-08-11,319380.0,323500.0,318500.0,322500.0,500
2020-08-12,320000.0,321229.0,318801.0,320255.0,400
2020-08-13,318114.0,319810.0,317471.0,318500.0,300
2020-08-14,316251.0,318000.0,315402.0,317300.0,200
2020-08-17,310220.0,315500.0,309747.0,315139.0,400
2020-08-18,313419.0,314800.0,310700.0,310910.0,200
2020-08-19,310800.0,315300.0,310412.0,313745.0,300
2020-08-20,309300.0,310107.0,307376.0,307376.0,300
2020-08-21,311126.0,312600.0,309000.0,309000.0,400
2020-08-24,318800.0,320000.0,314501.0,315100.0,400
2020-08-25,319970.0,321001.0,319534.0,320300.0,300
2020-08-26,322301.0,323939.0,318900.0,319600.0,400
2020-08-27,325659.0,327000.0,323700.0,323700.0,600
2020-08-28,327431.0,328279.0,323570.0,325950.0,300
2020-08-31,327560.0,329299.0,326900.0,327500.0,500
2020-09-01,327440.0,327560.0,325336.0,325500.0,300
2020-09-02,332840.0,333010.0,327507.0,328175.0,400
2020-09-03,327360.0,334960.0,325522.0,332850.0,600
2020-09-04,327401.0,332674.0,323364.0,330000.0,400
2020-09-08,327200.0,328859.0,323431.0,324940.0,400
2020-09-09,329760.0,332482.0,328175.0,328500.0,400
2020-09-10,327214.0,331000.0,326156.0,330200.0,400
2020-09-11,327115.0,328946.0,325607.0,328240.0,400
2020-09-14,329725.0,332000.0,327521.0,328430.0,500
2020-09-15,328804.0,332500.0,328016.0,330545.0,400
2020-09-16,329801.0,333300.0,329312.0,331000.0,600
2020-09-17,326401.0,328225.0,325234.0,327000.0,400
2020-09-18,327601.0,331660.0,327000.0,328300.0,800
2020-09-21,319534.0,323000.0,313580.0,321266.0,500
2020-09-22,320601.0,322000.0,318017.0,320500.0,300
2020-09-23,314840.0,322284.0,314540.0,321485.0,200
2020-09-24,313780.0,315500.0,310644.0,313203.0,300
2020-09-25,315156.0,316562.0,310591.0,311450.0,200
2020-09-28,320061.0,323297.0,318702.0,319900.0,500
2020-09-29,315891.0,321900.0,315200.0,321900.0,600
2020-09-30,320001.0,320500.0,316491.0,318800.0,700
2020-10-01,318600.0,321219.0,316203.0,321219.0,600
2020-10-02,317480.0,320575.0,314612.0,315415.0,300
2020-10-05,319000.0,321000.0,318202.0,319707.0,300
2020-10-06,315350.0,320400.0,315100.0,319000.0,300
2020-10-07,319571.0,322089.0,317602.0,319000.0,200
2020-10-08,323275.0,323670.0,320447.0,321125.0,300
2020-10-09,323470.0,324537.0,321687.0,323709.0,200
2020-10-12,324560.0,326150.0,323378.0,324650.0,200
2020-10-13,318969.0,324000.0,318400.0,324000.0,300
2020-10-14,316080.0,319088.0,316080.0,319088.0,300
2020-10-15,317540.0,318200.0,312980.0,314750.0,100
2020-10-16,318504.0,320761.0,318217.0,319000.0,200
2020-10-19,313500.0,318819.0,312945.0,318819.0,300
2020-10-20,315375.0,317280.0,314621.0,316184.0,200
2020-10-21,315206.0,317500.0,313450.0,313500.0,200
2020-10-22,317180.0,317619.0,314380.0,314680.0,200
2020-10-23,319344.0,320999.0,317991.0,318672.0,300
2020-10-26,312735.0,315500.0,311100.0,314850.0,300
2020-10-27,310540.0,313142.0,310540.0,311630.0,200
2020-10-28,301740.0,305995.0,300090.0,304720.0,500
2020-10-29,303000.0,304907.0,297817.0,300420.0,200
2020-10-30,302500.0,303700.0,298806.0,300060.0,200
2020-11-02,306375.0,309542.0,305242.0,307500.0,200
2020-11-03,310659.0,314780.0,310000.0,312300.0,400
2020-11-04,309503.0,315300.0,307830.0,310194.0,200
2020-11-05,311934.0,316426.0,311284.0,314269.0,200
2020-11-06,313885.0,315310.0,311917.0,312250.0,200
2020-11-09,330600.0,337600.0,327033.0,333000.0,1100
2020-11-10,343000.0,343000.0,331977.0,332000.0,600
2020-11-11,341260.0,343705.0,338224.0,342433.0,400
2020-11-12,336811.0,338339.0,335186.0,337800.0,300
2020-11-13,341754.0,342269.0,338000.0,338000.0,300
2020-11-16,349540.0,350000.0,344846.0,345000.0,700
2020-11-17,349546.0,352500.0,345417.0,347000.0,600
2020-11-18,345592.0,351900.0,345500.0,351900.0,300
2020-11-19,345000.0,345000.0,341897.0,343634.0,200
2020-11-20,341339.0,344849.0,340728.0,343800.0,200
